Unmatched Ingredient,Role,Mention Count,Product Count,Classification,Best Candidate Canonical Ingredient,Candidate Score,Mapping Basis,Confidence,Reason,Recommended Next Step
Hyaluronate,Primary,1,1,REVIEW_REQUIRED,Sodium Hyaluronate,0.759,Chemical naming equivalence,MEDIUM,Abbreviated/incomplete name; several hyaluronate salts exist in the sheet.,REVIEW_MANUALLY
Hyperpigmentation And Melasma Oligopeptide-10,Primary,1,1,REVIEW_REQUIRED,Oligopeptide-10,0.5,Formatting variation,LOW,Begins with a real canonical ingredient but carries trailing concentration or marketing text; needs a data-side clean-up rather than an alias.,REVIEW_MANUALLY
Iris Florentina Root Extract,Secondary,1,1,REVIEW_REQUIRED,Iris Root Extract,0.756,Botanical naming variation,MEDIUM,Species-level name vs the generic iris root entry.,REVIEW_MANUALLY
Laminaria Japonica,Primary,1,1,REVIEW_REQUIRED,Laminaria Japonica Extract,0.818,Same source but material unspecified,MEDIUM,"Names the source organism only; the sheet holds several materials from it (oil, extract, powder, water) with different scores.",REVIEW_MANUALLY
Lanolin,Secondary,1,1,REVIEW_REQUIRED,Lanolin Oil,0.778,Same source but material unspecified,MEDIUM,"Names the source organism only; the sheet holds several materials from it (oil, extract, powder, water) with different scores.",REVIEW_MANUALLY
Orchid Extract,Secondary,1,1,REVIEW_REQUIRED,Orchid Flower Extract,0.8,Same source but different material,LOW,The canonical specifies the flower.,REVIEW_MANUALLY
Pitera - Rich In Vitamins,Primary,1,1,REVIEW_REQUIRED,Pitera,0.387,Formatting variation,LOW,Begins with a real canonical ingredient but carries trailing concentration or marketing text; needs a data-side clean-up rather than an alias.,REVIEW_MANUALLY
Saccharomyces Ferment Lysate Filtrate,Secondary,1,1,REVIEW_REQUIRED,Saccharomyces ferment,0.724,Same source but different material,LOW,"Same yeast, but filtrate/lysate/ferment are different preparations.",REVIEW_MANUALLY
Sodium C -16 Olefin Sulfonate,Primary,1,1,REVIEW_REQUIRED,Sodium C14-16 Olefin Sulfonate,0.949,Formatting variation,MEDIUM,"Appears to be the same surfactant with '14' lost, but a missing carbon number cannot be assumed.",REVIEW_MANUALLY
Sodium HA,Secondary,1,1,REVIEW_REQUIRED,Sodium Hyaluronate,0.667,Chemical naming equivalence,MEDIUM,Abbreviated/incomplete name; several hyaluronate salts exist in the sheet.,REVIEW_MANUALLY
Spiraea Ulmaria Extract,Secondary,1,1,REVIEW_REQUIRED,Spiraea Ulmaria Flower Extract,0.868,Same source but different material,LOW,"Same plant, but the canonical specifies the flower and the raw name does not.",REVIEW_MANUALLY
Sunflower Seed,Primary,1,1,REVIEW_REQUIRED,Sunflower,0.783,Same source but material unspecified,MEDIUM,"Names the source organism only; the sheet holds several materials from it (oil, extract, powder, water) with different scores.",REVIEW_MANUALLY
Sweet Orange Extract,Primary,1,1,REVIEW_REQUIRED,Orange Extract,0.824,Botanical naming variation,MEDIUM,Sweet orange is Citrus sinensis; the generic 'Orange Extract' may cover it.,REVIEW_MANUALLY
Theobroma Cacao Shell Extract,Primary,1,1,REVIEW_REQUIRED,Theobroma Cacao Extract,0.885,Same source but different material,LOW,Shell is a specific part; a generic cacao extract row exists but may not match the shell material.,REVIEW_MANUALLY
Vetiveria Zizanioides Root Powder,Secondary,1,1,REVIEW_REQUIRED,Vetiver,0.35,Same source but different material,LOW,"Correct plant, but powder, water and extract are different materials and the canonical 'Vetiver' is unqualified.",REVIEW_MANUALLY
Vetiveria Zizanioides Root Water,Secondary,1,1,REVIEW_REQUIRED,Vetiver,0.359,Same source but different material,LOW,"Correct plant, but powder, water and extract are different materials and the canonical 'Vetiver' is unqualified.",REVIEW_MANUALLY
Vetiveria Zizanoides Root Extract,Primary,1,1,REVIEW_REQUIRED,Vetiver,0.35,Same source but different material,LOW,"Correct plant, but powder, water and extract are different materials and the canonical 'Vetiver' is unqualified.",REVIEW_MANUALLY
Vitamin B3,Secondary,1,1,REVIEW_REQUIRED,Niacinamide,0.381,INCI/common-name equivalence,MEDIUM,Vitamin B3 is usually niacinamide in cosmetics but can mean niacin; the sheet has no 'Vitamin B3' row.,REVIEW_MANUALLY
Vitamin E Oil,Primary,1,1,REVIEW_REQUIRED,Vitamin E,0.818,Same source but different material,MEDIUM,Vitamin E in an oil carrier; may or may not score as the pure vitamin.,REVIEW_MANUALLY
Vitamin-B3,Secondary,1,1,REVIEW_REQUIRED,Niacinamide,0.381,INCI/common-name equivalence,MEDIUM,Vitamin B3 is usually niacinamide in cosmetics but can mean niacin; the sheet has no 'Vitamin B3' row.,REVIEW_MANUALLY
Glyceryl Monostearate,Secondary,4,4,SAFE_TO_MAP,Glyceryl Stearate,0.895,Chemical naming equivalence,HIGH,Glyceryl monostearate is the INCI ingredient Glyceryl Stearate.,ADD_ALIAS
Organic Shea Butter,Primary,3,3,SAFE_TO_MAP,Shea Butter,0.733,Formatting variation,HIGH,'Organic' is a sourcing claim; the material is the same.,ADD_ALIAS
Vit E,Secondary,3,3,SAFE_TO_MAP,Vitamin E,0.714,Formatting variation,HIGH,Common abbreviation of the same vitamin.,ADD_ALIAS
Acetyl Tetrapeptide_x001D_2,Secondary,2,2,SAFE_TO_MAP,Acetyl Tetrapeptide-2,0.833,Formatting variation,HIGH,A control character has replaced the hyphen; the peptide number is unchanged.,ADD_ALIAS
Ceramide III,Primary,2,2,SAFE_TO_MAP,Ceramide NP,0.783,Chemical naming equivalence,MEDIUM,"Ceramide III is Ceramide 3, the former name of Ceramide NP; the project already maps 'ceramide 3' to this entry.",ADD_ALIAS
Ghee - 10.00%,Secondary,2,2,SAFE_TO_MAP,Ghee,0.471,Formatting variation,HIGH,Removing a trailing concentration/quantity annotation leaves a name the existing resolver already matches.,ADD_ALIAS
Glycerol,Primary + Secondary,2,2,SAFE_TO_MAP,Glycerin,0.75,Chemical naming equivalence,HIGH,Glycerol and glycerin are two names for the same molecule.,ADD_ALIAS
Glycine Soja Germ Extract,Primary,2,2,SAFE_TO_MAP,Soy Germ Extract,0.732,Botanical naming variation,HIGH,Glycine soja is soy; same part (germ) and same preparation.,ADD_ALIAS
Honey - 0.1%,Primary,2,2,SAFE_TO_MAP,Honey,0.588,Formatting variation,HIGH,Removing a trailing concentration/quantity annotation leaves a name the existing resolver already matches.,ADD_ALIAS
Honey - 0.5%,Primary,2,2,SAFE_TO_MAP,Honey,0.588,Formatting variation,HIGH,Removing a trailing concentration/quantity annotation leaves a name the existing resolver already matches.,ADD_ALIAS
Honey-1.0%,Primary,2,2,SAFE_TO_MAP,Honey,0.667,Formatting variation,HIGH,Removing a trailing concentration/quantity annotation leaves a name the existing resolver already matches.,ADD_ALIAS
Menthol Crystals,Secondary,2,2,SAFE_TO_MAP,Menthol,0.609,Formatting variation,MEDIUM,'Crystals' names the physical form of the same substance.,ADD_ALIAS
Mixed Tocopherol,Secondary,2,2,SAFE_TO_MAP,Tocopherol,0.769,Chemical naming equivalence,MEDIUM,'Mixed tocopherols' is the INCI ingredient Tocopherol.,ADD_ALIAS
Sodium Laureth Sulphate,Secondary,2,2,SAFE_TO_MAP,Sodium Laureth Sulfate / SLES,0.808,Formatting variation,HIGH,British spelling of sulfate; identical substance.,ADD_ALIAS
1% Niacinamdide,Secondary,1,1,SAFE_TO_MAP,Niacinamide,0.846,Formatting variation,HIGH,"Misspelling plus a concentration prefix; no 1% row exists, so the base row applies.",ADD_ALIAS
3-O-EthylAscorbic Acid (vitamin C,Primary,1,1,SAFE_TO_MAP,3-O-Ethyl Ascorbic Acid,0.786,Formatting variation,HIGH,Missing space and a truncated parenthesis; same molecule.,ADD_ALIAS
Alpha Bisabolol,Primary,1,1,SAFE_TO_MAP,Bisabolol,0.75,Chemical naming equivalence,MEDIUM,Alpha-bisabolol is the isomer sold as cosmetic bisabolol.,ADD_ALIAS
Amla Fruitextract - 2.0%,Secondary,1,1,SAFE_TO_MAP,Amla Extract,0.667,Formatting variation,HIGH,Removing a trailing concentration/quantity annotation leaves a name the existing resolver already matches.,ADD_ALIAS
Apple Fruit Water,Secondary,1,1,SAFE_TO_MAP,Pyrus Malus (Apple) Fruit Water,0.708,INCI/common-name equivalence,HIGH,Common name of the same INCI entry; identical material.,ADD_ALIAS
Coconutoil - 15.0%,Primary,1,1,SAFE_TO_MAP,Coconut Oil,0.69,Formatting variation,HIGH,Removing a trailing concentration/quantity annotation leaves a name the existing resolver already matches.,ADD_ALIAS
Corn Starch - 89.0%,Primary,1,1,SAFE_TO_MAP,Cornstarch (Zea Mays),0.6,Formatting variation,HIGH,Removing a trailing concentration/quantity annotation leaves a name the existing resolver already matches.,ADD_ALIAS
Corn Starch -88.0%,Secondary,1,1,SAFE_TO_MAP,Cornstarch (Zea Mays),0.564,Formatting variation,HIGH,Removing a trailing concentration/quantity annotation leaves a name the existing resolver already matches.,ADD_ALIAS
Corn Starch -88.5%,Secondary,1,1,SAFE_TO_MAP,Cornstarch (Zea Mays),0.564,Formatting variation,HIGH,Removing a trailing concentration/quantity annotation leaves a name the existing resolver already matches.,ADD_ALIAS
Cornstarch - 89.0%,Primary,1,1,SAFE_TO_MAP,Cornstarch (Zea Mays),0.615,Formatting variation,HIGH,Removing a trailing concentration/quantity annotation leaves a name the existing resolver already matches.,ADD_ALIAS
Glicerina,Primary,1,1,SAFE_TO_MAP,Glycerin,0.824,INCI/common-name equivalence,HIGH,Portuguese/Spanish name for glycerin; same single substance.,ADD_ALIAS
Honey - 1.5%,Primary,1,1,SAFE_TO_MAP,Honey,0.588,Formatting variation,HIGH,Removing a trailing concentration/quantity annotation leaves a name the existing resolver already matches.,ADD_ALIAS
Honey** - 0.5%,Secondary,1,1,SAFE_TO_MAP,Honey,0.526,Formatting variation,HIGH,Removing a trailing concentration/quantity annotation leaves a name the existing resolver already matches.,ADD_ALIAS
Human Adipocyte Conditioned Media Extract,Primary,1,1,SAFE_TO_MAP,Stem Cells (Human Adipocyte Conditioned Media Extract),0.863,Exact semantic equivalent,HIGH,The raw name is exactly the parenthetical INCI name of this canonical entry.,ADD_ALIAS
Hyaluronic Complex,Primary,1,1,SAFE_TO_MAP,Hyaluronic Acid Complex,0.878,Formatting variation,HIGH,Same name with the word 'Acid' omitted.,ADD_ALIAS
Natural Yuzu Extract,Secondary,1,1,SAFE_TO_MAP,Yuzu Extract,0.75,Formatting variation,HIGH,"'Natural' is a marketing qualifier, not a different material.",ADD_ALIAS
Oatmealpowder - 5.0%,Secondary,1,1,SAFE_TO_MAP,Oatmeal Powder (Hordeum Vulgare),0.577,Formatting variation,HIGH,Removing a trailing concentration/quantity annotation leaves a name the existing resolver already matches.,ADD_ALIAS
Passiflora Edulis Fruit Extract,Secondary,1,1,SAFE_TO_MAP,Passion Fruit Extract,0.769,Botanical naming variation,HIGH,"Passiflora edulis is passion fruit; same plant, same part, same preparation.",ADD_ALIAS
Sodium Benzoate - Q.S,Secondary,1,1,SAFE_TO_MAP,Sodium Benzoate,0.833,Formatting variation,HIGH,Removing a trailing concentration/quantity annotation leaves a name the existing resolver already matches.,ADD_ALIAS
Sodium Lauryl Ether Sulphate,Secondary,1,1,SAFE_TO_MAP,Sodium Laureth Sulfate / SLES,0.737,Chemical naming equivalence,HIGH,'Lauryl ether sulphate' is the expanded form of 'laureth sulfate'.,ADD_ALIAS
Veg Squalane,Primary,1,1,SAFE_TO_MAP,Vegetable Squalane,0.8,Formatting variation,HIGH,'Veg' is an abbreviation of 'Vegetable'.,ADD_ALIAS
Vegan Ceramide NP,Primary,1,1,SAFE_TO_MAP,Ceramide NP,0.786,Formatting variation,HIGH,'Vegan' describes sourcing; Ceramide NP is the same molecule.,ADD_ALIAS
